old_path	new_path	status
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/N/NYTRO BOX	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/N/NYTRO_BOX	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/H/HARMAN KARDON	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/H/HARMAN_KARDON	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/H/HARMAN HARDON	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/H/HARMAN_HARDON	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/H/HB DIGITAL	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/H/HB_DIGITAL	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/B/BANG & OLUFSEN	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/B/BANG-and-OLUFSEN	OK
sd_card_content/ir_extra_dbs/_Converted_/_Pronto_Converted_/0-9/(Generic)	sd_card_content/ir_extra_dbs/_Converted_/_Pronto_Converted_/0-9/Generic	OK
sd_card_content/ir_extra_dbs/_Converted_/_Pronto_Converted_/B/B&K_Components	sd_card_content/ir_extra_dbs/_Converted_/_Pronto_Converted_/B/B-and-K_Components	OK
sd_card_content/universal_rf/Gates/Bruteforcing/Many OOK SUBs	sd_card_content/universal_rf/Gates/Bruteforcing/Many_OOK_SUBs	OK
sd_card_content/subghz_extra_dbs/Gates/Bruteforcing/Many OOK SUBs	sd_card_content/subghz_extra_dbs/Gates/Bruteforcing/Many_OOK_SUBs	OK
sd_card_content/universal_ir/assets/ACs/Lifetime Air	sd_card_content/universal_ir/assets/ACs/Lifetime_Air	OK
sd_card_content/ir_extra_dbs/Humidifiers/Homedics/HoMedics TotalComfort Ultrasonic Humidifier	sd_card_content/ir_extra_dbs/Humidifiers/Homedics/HoMedics_TotalComfort_Ultrasonic_Humidifier	OK
sd_card_content/ir_extra_dbs/Miscellaneous/Humidifiers/HoMedics TotalComfort Ultrasonic Humidifier	sd_card_content/ir_extra_dbs/Miscellaneous/Humidifiers/HoMedics_TotalComfort_Ultrasonic_Humidifier	OK
sd_card_content/ir_extra_dbs/Projectors/Sony/Sony RM-PJ30	sd_card_content/ir_extra_dbs/Projectors/Sony/Sony_RM-PJ30	OK
sd_card_content/universal_rf/Gates/Road_Arm_(UK)	sd_card_content/universal_rf/Gates/Road_Arm_UK	OK
sd_card_content/universal_rf/Vehicles/Lexus Toyota	sd_card_content/universal_rf/Vehicles/Lexus_Toyota	OK
sd_card_content/universal_rf/Vehicles/Lamborghini Huracan	sd_card_content/universal_rf/Vehicles/Lamborghini_Huracan	OK
sd_card_content/universal_rf/Vehicles/LDV Automotive	sd_card_content/universal_rf/Vehicles/LDV_Automotive	OK
sd_card_content/subghz_extra_dbs/Doorbells/Dongguan_Smart Hero_Electronics	sd_card_content/subghz_extra_dbs/Doorbells/Dongguan_Smart_Hero_Electronics	OK
sd_card_content/subghz_extra_dbs/Gates/Road_Arm_(UK)	sd_card_content/subghz_extra_dbs/Gates/Road_Arm_UK	OK
sd_card_content/subghz_extra_dbs/Fans/Flowmate Classic	sd_card_content/subghz_extra_dbs/Fans/Flowmate_Classic	OK
sd_card_content/subghz_extra_dbs/LED/PZLOZ CLED-5501C desk lamp	sd_card_content/subghz_extra_dbs/LED/PZLOZ_CLED-5501C_desk_lamp	OK
sd_card_content/subghz_extra_dbs/Brujin/North Shore Comm Doors	sd_card_content/subghz_extra_dbs/Brujin/North_Shore_Comm_Doors	OK
sd_card_content/subghz_extra_dbs/Brujin/Open Sesame	sd_card_content/subghz_extra_dbs/Brujin/Open_Sesame	OK
sd_card_content/subghz_extra_dbs/Adjustable_Beds/RIZE RI-AB5-A18-WWM-L-U-H	sd_card_content/subghz_extra_dbs/Adjustable_Beds/RIZE_RI-AB5-A18-WWM-L-U-H	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/HARMAN KARDON	sd_card_content/ir_extra_dbs/Brand_(sorted)/HARMAN_KARDON	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/HARMAN HARDON	sd_card_content/ir_extra_dbs/Brand_(sorted)/HARMAN_HARDON	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/CRISTOR ATLAS	sd_card_content/ir_extra_dbs/Brand_(sorted)/CRISTOR_ATLAS	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/TATA SKY	sd_card_content/ir_extra_dbs/Brand_(sorted)/TATA_SKY	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/CABLE MATTERS	sd_card_content/ir_extra_dbs/Brand_(sorted)/CABLE_MATTERS	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/BANG & OLUFSEN	sd_card_content/ir_extra_dbs/Brand_(sorted)/BANG-and-OLUFSEN	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/TV SAMSUNG	sd_card_content/ir_extra_dbs/Brand_(sorted)/TV_SAMSUNG	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/CLARKE TECH	sd_card_content/ir_extra_dbs/Brand_(sorted)/CLARKE_TECH	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/GOLDEN MEDIA	sd_card_content/ir_extra_dbs/Brand_(sorted)/GOLDEN_MEDIA	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/WESTERN DIGITAL	sd_card_content/ir_extra_dbs/Brand_(sorted)/WESTERN_DIGITAL	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/ADVANCE ACOUSTIC	sd_card_content/ir_extra_dbs/Brand_(sorted)/ADVANCE_ACOUSTIC	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/AZ AMERICA	sd_card_content/ir_extra_dbs/Brand_(sorted)/AZ_AMERICA	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/HB DIGITAL	sd_card_content/ir_extra_dbs/Brand_(sorted)/HB_DIGITAL	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/AC RYAN	sd_card_content/ir_extra_dbs/Brand_(sorted)/AC_RYAN	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/EASY LIVING	sd_card_content/ir_extra_dbs/Brand_(sorted)/EASY_LIVING	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/DIAMOND VISION	sd_card_content/ir_extra_dbs/Brand_(sorted)/DIAMOND_VISION	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/NYTRO BOX	sd_card_content/ir_extra_dbs/Brand_(sorted)/NYTRO_BOX	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/STAR SAT	sd_card_content/ir_extra_dbs/Brand_(sorted)/STAR_SAT	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/CHANNEL VISION	sd_card_content/ir_extra_dbs/Brand_(sorted)/CHANNEL_VISION	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/PLUS AMERICA	sd_card_content/ir_extra_dbs/Brand_(sorted)/PLUS_AMERICA	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/DYNO JET	sd_card_content/ir_extra_dbs/Brand_(sorted)/DYNO_JET	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/ID DIGITAL	sd_card_content/ir_extra_dbs/Brand_(sorted)/ID_DIGITAL	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/CAMBRIDGE AUDIO	sd_card_content/ir_extra_dbs/Brand_(sorted)/CAMBRIDGE_AUDIO	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)/DK DIGITAL	sd_card_content/ir_extra_dbs/Brand_(sorted)/DK_DIGITAL	OK
sd_card_content/ir_extra_dbs/Audio_and_Video_Receivers/Fossi Audio	sd_card_content/ir_extra_dbs/Audio_and_Video_Receivers/Fossi_Audio	OK
sd_card_content/ir_extra_dbs/Miscellaneous/Clever&Clean	sd_card_content/ir_extra_dbs/Miscellaneous/Clever-and-Clean	OK
sd_card_content/ir_extra_dbs/Miscellaneous/Tomlov Microscope	sd_card_content/ir_extra_dbs/Miscellaneous/Tomlov_Microscope	OK
sd_card_content/ir_extra_dbs/Miscellaneous/OREI HDMI Switcher	sd_card_content/ir_extra_dbs/Miscellaneous/OREI_HDMI_Switcher	OK
sd_card_content/ir_extra_dbs/Toys/Fisher Price	sd_card_content/ir_extra_dbs/Toys/Fisher_Price	OK
sd_card_content/ir_extra_dbs/Speakers/Kanto YU	sd_card_content/ir_extra_dbs/Speakers/Kanto_YU	OK
sd_card_content/ir_extra_dbs/DVD_Players/S2 Digital	sd_card_content/ir_extra_dbs/DVD_Players/S2_Digital	OK
sd_card_content/ir_extra_dbs/Heaters/Hampton Bay	sd_card_content/ir_extra_dbs/Heaters/Hampton_Bay	OK
sd_card_content/ir_extra_dbs/ACs/Lifetime Air	sd_card_content/ir_extra_dbs/ACs/Lifetime_Air	OK
sd_card_content/ir_extra_dbs/Projectors/Generic Projectors	sd_card_content/ir_extra_dbs/Projectors/Generic_Projectors	OK
sd_card_content/subghz_extra_dbs/Flipper Zero	sd_card_content/subghz_extra_dbs/Flipper_Zero	OK
sd_card_content/subghz_extra_dbs/Concert bracelet	sd_card_content/subghz_extra_dbs/Concert_bracelet	OK
sd_card_content/subghz_extra_dbs/DEFCON32_Bracelet (FREE-WILi)	sd_card_content/subghz_extra_dbs/DEFCON32_Bracelet_FREE-WILi	OK
sd_card_content/subghz_extra_dbs/Hampton Bay Ceiling Fan	sd_card_content/subghz_extra_dbs/Hampton_Bay_Ceiling_Fan	OK
sd_card_content/subghz_extra_dbs/Customer Service	sd_card_content/subghz_extra_dbs/Customer_Service	OK
sd_card_content/subghz_extra_dbs/Retekess pager system t119	sd_card_content/subghz_extra_dbs/Retekess_pager_system_t119	OK
sd_card_content/subghz_extra_dbs/CVS_Lowes_Wallgreens Chaos	sd_card_content/subghz_extra_dbs/CVS_Lowes_Wallgreens_Chaos	OK
sd_card_content/subghz_extra_dbs/Car Key Jammer	sd_card_content/subghz_extra_dbs/Car_Key_Jammer	OK
sd_card_content/subghz_extra_dbs/some sort of brute force	sd_card_content/subghz_extra_dbs/some_sort_of_brute_force	OK
sd_card_content/subghz_extra_dbs/WeVibe Unit 2	sd_card_content/subghz_extra_dbs/WeVibe_Unit_2	OK
sd_card_content/subghz_extra_dbs/1200 Cues Pyrotechnic Remote	sd_card_content/subghz_extra_dbs/1200_Cues_Pyrotechnic_Remote	OK
sd_card_content/ir_extra_dbs/Brand_(sorted)	sd_card_content/ir_extra_dbs/Brand_sorted	OK
sd_card_content/ir_extra_dbs/universal_remotes @sark	sd_card_content/ir_extra_dbs/universal_remotes_@sark	OK
sd_card_content/ir_extra_dbs/irtobefree @sark	sd_card_content/ir_extra_dbs/irtobefree_@sark	OK
sd_card_content/ir_extra_dbs/IrBegone @sark	sd_card_content/ir_extra_dbs/IrBegone_@sark	OK
